,0
0,-0.5410856
1,-0.38845846
2,-0.13248834
3,0.005791459
4,1.0346519
5,0.2159327
6,-0.4116315
7,-0.13817963
8,0.14044121
9,1.641435
10,-0.76460075
11,-0.11683151
12,-0.7442985
13,-0.3577567
14,2.0836728
15,-0.37690064
16,-0.60902244
17,0.0354614
18,-0.5472415
19,2.0160525
20,0.057519827
21,-0.23144355
22,-0.5802645
23,0.5057851
24,1.0370098
25,-0.6373586
26,-0.5026738
27,0.08271375
28,-0.7159926
29,3.4655352
30,-0.48055515
31,0.071375996
32,-0.03463086
33,-0.22327372
34,1.1245552
35,-0.09549162
36,-0.7644913
37,-0.05193862
38,-0.5793217
39,1.3711976
40,-0.5951433
41,0.061371777
42,-0.6703305
43,-0.289651
44,1.8106047
45,-0.24455735
46,-0.38898137
47,0.13543728
48,-0.40957275
49,2.0385094
50,-0.47200742
51,-0.37416592
52,-0.7237604
53,0.008674774
54,1.8233942
55,-0.32911137
56,-0.1577352
57,-0.2918429
58,-0.1655992
59,2.4458928
60,-0.28432396
61,-0.6282725
62,-0.3333834
63,-0.6244369
64,0.9740403
65,-0.33831927
66,-0.79463226
67,-0.41004542
68,-0.23151055
69,0.99505985
70,-0.59188086
71,-0.0033821724
72,-0.39979836
73,-0.14248672
74,1.6701902
75,-0.201695
76,-0.50813776
77,0.028569732
78,-0.8760274
79,1.5260624
80,-0.420315
81,-0.72163916
82,-0.7585435
83,-0.13685223
84,0.5785109
85,-0.7803509
86,-0.6765582
87,-0.16352484
88,-1.0904902
89,2.200054
90,-0.73036903
91,0.013651703
92,-0.16316566
93,-0.032263365
94,1.0889719
95,0.5395365
96,-0.6914326
97,-0.6896718
98,-0.23046973
99,2.0912483
100,-1.0970974
101,-0.47428522
102,-1.0374742
103,-0.22604254
104,1.4438123
105,-0.3274436
106,-0.25356165
107,0.1567885
108,-0.4603735
109,1.9207793
110,-0.47932965
111,-0.48077473
112,-0.8789395
113,-0.27484182
114,1.0896589
115,-0.6565762
116,-0.9961273
117,-0.44679365
118,-0.83070725
119,2.9838088
120,-0.25235984
121,-0.23695073
122,-0.5505812
123,0.11300042
124,0.86860454
125,-0.40017465
126,-0.90619814
127,-0.31013873
128,-0.8119555
129,1.5824307
130,-0.5600073
131,-0.18054363
132,-0.8237921
133,-0.5800011
134,2.0594795
135,-0.20891783
136,-0.83860505
137,-0.12363961
138,-0.38804016
139,1.699975
140,-0.12933192
141,-0.41278872
142,-0.48095253
143,-0.2593175
144,0.6064523
145,-0.55271965
146,-0.40272924
147,-0.2419298
148,-0.85701495
149,2.2449229
150,-0.41973943
151,-0.0883598
152,-0.24666634
153,-0.4679372
154,1.0713962
155,0.34385386
156,-0.79859316
157,-0.9548877
158,-0.2272732
159,1.3172684
160,-0.84871095
161,-0.37349352
162,-1.042654
163,-0.40248653
164,2.1943672
165,-0.568252
166,-0.79824775
167,-0.23936215
168,-0.7259609
169,1.3415145
170,-0.24100924
171,-0.22878584
172,-0.47221157
173,-0.33066842
174,1.1492623
175,-0.6685808
176,-0.41542044
177,-0.4874694
178,-0.77193135
179,3.3020484
180,-0.5335293
181,-0.57034606
182,-0.6411146
183,-0.3695207
184,1.0684814
185,-0.06701282
186,-0.51082814
187,-0.4324349
188,-0.7214957
189,1.5017728
190,-0.41579762
191,0.10601792
192,-0.6491191
193,-0.050106015
194,1.7585614
195,-0.14756724
196,-0.77104825
197,-0.23076364
198,-0.40209708
199,2.1747725
200,-0.7447744
201,-0.71539706
202,-0.9263823
203,-0.19719967
204,0.9159897
205,-0.7309967
206,-0.47050932
207,-0.30868754
208,-0.47762343
209,2.3791835
210,-0.6589608
211,-0.5249849
212,-0.7370075
213,-0.49817833
214,1.0150402
215,-0.32850853
216,-0.8340147
217,-0.5907808
218,-0.22756758
219,2.144402
220,-0.885753
221,-0.2306926
222,-0.596459
223,-0.53122526
224,2.025951
225,-0.68109065
226,-0.5630863
227,-0.13371333
228,-0.3513783
229,1.6194752
230,-0.47200373
231,-0.46424875
232,-0.6313574
233,0.37237623
234,1.2835482
235,-0.50326425
236,-0.38701585
237,0.2330952
238,-0.5833954
239,3.5529454
240,-0.8686326
241,-0.723375
242,-0.8308349
243,-0.1522474
244,1.095194
245,-0.039866712
246,-0.63368505
247,-0.102344126
248,-0.67952615
249,1.3011794
250,-0.5222967
251,-0.07673642
252,-0.64205354
253,-0.57902044
254,1.8035756
255,-0.5529719
256,-0.99151325
257,-0.30604175
258,-0.5655541
259,1.6995419
260,-0.5727689
261,-0.51471
262,-0.7597326
263,-0.26924464
264,0.88032836
265,-0.39775595
266,-0.47018477
267,-0.50123054
268,-1.0667261
269,2.6016243
270,-0.6068914
271,0.0032677986
272,-0.174732
273,-0.377295
274,0.9516653
275,0.24589083
276,-0.7645717
277,-1.0064865
278,-0.5033137
279,1.433581
280,-0.69802696
281,0.029621039
282,-0.5587264
283,0.27517405
284,1.3964689
285,-0.2863663
286,-0.48108706
287,0.45882395
288,-0.43611512
289,2.1963718
290,-0.6009094
291,-0.52929395
292,-0.77888334
293,-0.19456545
294,1.0170523
295,-0.6114572
296,-0.32687405
297,-0.61495
298,-0.28085575
299,2.0536687
300,-0.36437926
301,-0.34583947
302,-0.11339608
303,-0.41982606
304,1.2619617
305,-0.2855961
306,-0.78221667
307,-0.33863363
308,-0.1540986
309,1.4517134
310,-0.6110592
311,0.14994851
312,-0.43404815
313,-0.013101008
314,1.3412393
315,-0.2613866
316,-0.78302103
317,-0.11814162
318,-0.3885357
319,2.090777
320,-0.5427872
321,-0.51294595
322,-0.7186643
323,0.18908176
324,0.7034179
325,-0.78297204
326,-0.72216326
327,-0.3999414
328,-0.7239937
329,2.5979216
330,-1.0799388
331,-0.564671
332,-0.66325164
333,-0.55905896
334,0.7186609
335,-0.33356997
336,-0.8093046
337,-0.4419401
338,-0.4957585
339,1.4921833
340,-0.93239266
341,-0.37717995
342,-0.9017839
343,-0.2244266
344,1.2903236
345,-0.42277035
346,-0.58951265
347,-0.15045604
348,-0.49933836
349,2.0294998
350,-0.57527024
351,-0.35511127
352,-0.40137163
353,-0.104110986
354,1.5021847
355,-0.04685774
356,-0.6568644
357,-0.27947345
358,-0.6495747
359,2.8708622
360,-0.3558925
361,-0.20076987
362,-0.4080809
363,0.0212777
364,1.0287403
365,-0.083917946
366,-0.6248605
367,-0.3818806
368,-0.4400955
369,1.8173412
370,-0.7842223
371,-0.13358703
372,-0.6278307
373,-0.7819945
374,1.9924802
375,-0.013875332
376,-0.99883276
377,-0.6264647
378,-0.3721604
379,1.9311765
380,-0.48355278
381,-0.05887207
382,-0.5338215
383,-0.036309566
384,1.1313893
385,-0.20319667
386,-0.24378833
387,-0.30580387
388,-0.4132274
389,2.8283148
390,-0.4020355
391,-0.23507366
392,-0.45789424
393,-0.08958897
394,0.9650637
395,-0.24521813
396,-0.6624975
397,-0.2031134
398,-0.067744166
399,2.3476627
400,-0.598792
401,-0.34966037
402,-0.99074036
403,-0.2191756
404,1.2481176
405,-0.4558598
